Datazone 2011,All households,Unshared dwelling: Total,Unshared dwelling: Whole house or bungalow,Unshared dwelling: Whole house or bungalow: Detached,Unshared dwelling: Whole house or bungalow: Semi-detached,Unshared dwelling: Whole house or bungalow: Terraced (including end-terrace),"Unshared dwelling: Flat, maisonette or apartment","Unshared dwelling: Flat, maisonette or apartment: Purpose-built block of flats or tenement","Unshared dwelling: Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Unshared dwelling: Flat, maisonette or apartment: In a commercial building",Unshared dwelling: Caravan or other mobile or temporary structure,Shared dwelling
S01010346,410,410,244,61,109,74,166,146,19,1,0,0
S01010347,466,466,38,2,9,27,428,424,2,2,0,0
S01010348,483,483,62,21,17,24,421,420,1,0,0,0
S01010349,443,443,115,13,26,76,328,328,0,0,0,0
S01010350,475,475,86,6,23,57,389,389,0,0,0,0
S01010351,398,398,138,9,71,58,260,260,0,0,0,0
S01010352,276,276,33,2,12,19,243,243,0,0,0,0
S01010353,562,557,33,1,13,19,523,522,1,0,1,5
S01010354,375,375,117,0,52,65,257,255,1,1,1,0
S01010355,402,402,75,5,25,45,327,319,7,1,0,0
S01010356,308,308,129,7,71,51,179,178,0,1,0,0
S01010357,340,340,64,1,15,48,276,275,0,1,0,0
S01010358,507,507,21,1,1,19,486,478,8,0,0,0
S01010359,456,456,8,1,1,6,448,445,2,1,0,0
S01010360,285,285,50,3,11,36,235,232,3,0,0,0
S01010361,402,398,7,3,2,2,390,384,6,0,1,4
S01010362,611,597,24,2,11,11,572,554,13,5,1,14
S01010363,394,394,93,6,62,25,301,291,9,1,0,0
S01010364,337,337,319,6,167,146,18,14,4,0,0,0
S01010365,449,449,178,23,117,38,271,136,134,1,0,0
S01010366,502,502,210,9,197,4,292,279,13,0,0,0
S01010367,507,507,157,20,107,30,350,254,96,0,0,0
S01010368,355,355,95,6,36,53,260,128,131,1,0,0
S01010369,433,429,36,7,21,8,392,367,24,1,1,4
S01010370,335,332,41,7,9,25,291,211,80,0,0,3
S01010371,461,451,59,4,9,46,392,228,162,2,0,10
S01010372,226,226,10,1,5,4,216,212,4,0,0,0
S01010373,408,408,9,5,2,2,399,388,11,0,0,0
S01010374,469,466,43,2,4,37,423,331,90,2,0,3
S01010375,219,219,7,1,2,4,212,192,19,1,0,0
S01010376,367,363,17,3,3,11,346,321,19,6,0,4
S01010377,375,363,14,2,2,10,349,285,64,0,0,12
S01010378,272,272,10,3,0,7,262,224,37,1,0,0
S01010379,446,446,20,0,3,17,426,407,16,3,0,0
S01010380,521,521,12,1,5,6,509,493,15,1,0,0
S01010381,372,372,2,2,0,0,370,367,1,2,0,0
S01010382,483,483,3,1,1,1,479,476,1,2,1,0
S01010383,393,391,5,4,1,0,386,379,5,2,0,2
S01010384,454,454,9,0,5,4,445,422,23,0,0,0
S01010385,498,498,5,1,1,3,493,478,13,2,0,0
S01010386,528,528,40,0,5,35,487,481,2,4,1,0
S01010387,587,587,33,1,5,27,552,547,4,1,2,0
S01010388,584,580,65,5,7,53,515,509,4,2,0,4
S01010389,668,663,8,0,0,8,654,647,6,1,1,5
S01010390,716,714,14,0,10,4,700,699,1,0,0,2
S01010391,541,541,12,0,1,11,529,528,1,0,0,0
S01010392,416,414,7,1,3,3,407,402,3,2,0,2
S01010393,634,634,81,8,15,58,553,536,14,3,0,0
S01010394,516,516,17,0,5,12,499,488,9,2,0,0
S01010395,637,637,6,2,1,3,630,626,4,0,1,0
S01010396,585,585,6,3,2,1,579,555,21,3,0,0
S01010397,294,279,2,0,0,2,277,250,27,0,0,15
S01010398,583,583,80,1,9,70,503,494,9,0,0,0
S01010399,615,615,37,1,7,29,578,567,9,2,0,0
S01010400,530,530,81,25,26,30,449,397,49,3,0,0
S01010401,400,400,18,2,3,13,382,269,112,1,0,0
S01010402,513,513,32,5,3,24,481,476,5,0,0,0
S01010403,509,509,23,3,2,18,486,418,68,0,0,0
S01010404,406,404,50,7,15,28,354,150,203,1,0,2
S01010405,408,404,51,8,5,38,353,142,210,1,0,4
S01010406,435,427,24,2,2,20,403,184,219,0,0,8
S01010407,418,413,8,1,2,5,405,346,50,9,0,5
S01010408,272,272,84,9,31,44,188,186,1,1,0,0
S01010409,245,245,230,69,104,57,15,14,0,1,0,0
S01010410,248,248,147,17,97,33,101,98,3,0,0,0
S01010411,365,365,322,9,76,237,43,39,3,1,0,0
S01010412,424,424,82,19,34,29,342,258,84,0,0,0
S01010413,340,338,138,36,96,6,200,169,31,0,0,2
S01010414,497,497,243,9,44,190,254,249,4,1,0,0
S01010415,555,552,37,2,12,23,515,499,16,0,0,3
S01010416,322,322,143,5,51,87,179,179,0,0,0,0
S01010417,286,286,109,5,17,87,177,168,9,0,0,0
S01010418,561,561,76,5,18,53,485,460,21,4,0,0
S01010419,500,500,173,3,30,140,327,318,8,1,0,0
S01010420,290,290,203,8,51,144,87,85,2,0,0,0
S01010421,346,346,224,8,110,106,122,118,3,1,0,0
S01010422,483,483,309,4,23,282,174,161,12,1,0,0
S01010423,490,488,27,1,4,22,461,444,17,0,0,2
S01010424,471,471,77,4,10,63,378,374,3,1,16,0
S01010425,621,617,32,8,4,20,585,579,1,5,0,4
S01010426,406,406,99,2,9,88,307,288,19,0,0,0
S01010427,499,490,158,0,34,124,332,327,4,1,0,9
S01010428,319,319,162,36,7,119,157,156,1,0,0,0
S01010429,388,388,288,2,15,271,100,100,0,0,0,0
S01010430,451,439,9,0,2,7,430,425,5,0,0,12
S01010431,258,258,215,2,28,185,43,43,0,0,0,0
S01010432,464,458,30,1,4,25,428,426,1,1,0,6
S01010433,338,334,10,1,4,5,324,320,3,1,0,4
S01010434,331,331,7,0,0,7,324,322,2,0,0,0
S01010435,291,291,150,8,88,54,140,140,0,0,1,0
S01010436,433,433,48,2,10,36,385,382,2,1,0,0
S01010437,269,267,85,3,52,30,179,178,1,0,3,2
S01010438,370,370,146,2,57,87,224,223,1,0,0,0
S01010439,512,512,35,4,5,26,476,474,0,2,1,0
S01010440,322,322,110,2,57,51,212,210,1,1,0,0
S01010441,488,488,56,3,6,47,431,430,0,1,1,0
S01010442,383,381,27,1,11,15,353,351,1,1,1,2
S01010443,228,228,218,3,25,190,10,10,0,0,0,0
S01010444,289,289,257,1,54,202,32,32,0,0,0,0
S01010445,307,307,185,14,42,129,122,115,6,1,0,0
S01010446,329,329,309,36,86,187,20,16,4,0,0,0
S01010447,521,521,191,20,123,48,330,327,3,0,0,0
S01010448,360,360,201,39,91,71,159,159,0,0,0,0
S01010449,370,370,59,4,37,18,311,308,3,0,0,0
S01010450,407,407,143,4,90,49,264,263,1,0,0,0
S01010451,438,436,143,4,61,78,293,290,2,1,0,2
S01010452,408,408,155,2,122,31,253,252,1,0,0,0
S01010453,372,366,67,4,38,25,299,295,3,1,0,6
S01010454,383,383,168,4,91,73,215,215,0,0,0,0
S01010455,604,604,49,1,9,39,555,555,0,0,0,0
S01010456,313,313,118,2,93,23,195,190,5,0,0,0
S01010457,340,338,129,4,74,51,209,209,0,0,0,2
S01010458,411,411,117,3,101,13,294,293,1,0,0,0
S01010459,258,258,127,0,55,72,131,131,0,0,0,0
S01010460,346,346,121,88,28,5,225,224,1,0,0,0
S01010461,386,384,136,4,103,29,248,248,0,0,0,2
S01010462,437,437,14,2,9,3,423,419,2,2,0,0
S01010463,376,376,238,3,191,44,138,131,7,0,0,0
S01010464,248,248,124,2,80,42,124,123,1,0,0,0
S01010465,451,451,306,33,87,186,145,144,1,0,0,0
S01010466,458,458,210,12,64,134,247,241,4,2,1,0
S01010467,476,476,72,18,43,11,404,399,4,1,0,0
S01010468,417,417,130,114,14,2,287,285,2,0,0,0
S01010469,405,405,16,1,4,11,389,388,0,1,0,0
S01010470,364,364,204,2,134,68,160,160,0,0,0,0
S01010471,316,316,134,4,91,39,182,182,0,0,0,0
S01010472,290,290,66,2,5,59,224,221,2,1,0,0
S01010473,435,435,127,6,20,101,308,308,0,0,0,0
S01010474,431,431,17,3,8,6,414,412,1,1,0,0
S01010475,384,384,75,0,25,50,309,305,4,0,0,0
S01010476,523,523,137,3,24,110,386,384,2,0,0,0
S01010477,354,354,150,2,96,52,204,204,0,0,0,0
S01010478,628,628,129,1,99,29,499,498,1,0,0,0
S01010479,512,512,126,3,88,35,386,384,2,0,0,0
S01010480,285,285,181,1,122,58,104,103,1,0,0,0
S01010481,267,267,46,3,25,18,221,221,0,0,0,0
S01010482,354,354,267,1,160,106,87,85,2,0,0,0
S01010483,526,526,240,1,112,127,286,285,1,0,0,0
S01010484,246,246,142,3,86,53,104,104,0,0,0,0
S01010485,396,396,347,60,87,200,49,48,1,0,0,0
S01010486,371,371,348,101,201,46,23,23,0,0,0,0
S01010487,432,432,412,3,66,343,20,20,0,0,0,0
S01010488,338,338,36,7,19,10,301,299,1,1,1,0
S01010489,450,450,93,15,28,50,357,347,7,3,0,0
S01010490,308,308,55,1,14,40,253,253,0,0,0,0
S01010491,417,414,67,7,40,20,347,345,2,0,0,3
S01010492,255,255,146,14,74,58,109,107,2,0,0,0
S01010493,308,308,95,8,30,57,213,209,3,1,0,0
S01010494,252,252,116,2,105,9,136,136,0,0,0,0
S01010495,418,418,135,5,47,83,283,283,0,0,0,0
S01010496,388,388,119,9,62,48,269,268,1,0,0,0
S01010497,285,285,194,14,115,65,91,91,0,0,0,0
S01010498,357,357,156,8,97,51,201,201,0,0,0,0
S01010499,451,449,81,5,45,31,368,362,4,2,0,2
S01010500,398,398,214,60,84,70,184,184,0,0,0,0
S01010501,430,430,199,18,94,87,231,229,1,1,0,0
S01010502,331,331,221,14,152,55,110,109,1,0,0,0
S01010503,321,321,25,2,8,15,296,293,3,0,0,0
S01010504,247,247,236,200,32,4,9,6,0,3,2,0
S01010505,244,244,236,185,45,6,3,1,0,2,5,0
S01010506,380,379,362,222,116,24,13,3,4,6,4,1
S01010507,345,345,279,73,129,77,66,51,5,10,0,0
S01010508,449,449,424,247,154,23,17,9,5,3,8,0
S01010509,393,393,378,258,93,27,12,5,6,1,3,0
S01010510,340,340,319,149,110,60,12,8,3,1,9,0
S01010511,369,369,347,23,106,218,22,22,0,0,0,0
S01010512,281,281,254,49,105,100,25,20,5,0,2,0
S01010513,300,300,286,173,103,10,11,9,2,0,3,0
S01010514,287,287,278,15,96,167,7,5,0,2,2,0
S01010515,350,350,344,25,79,240,6,4,2,0,0,0
S01010516,270,270,186,107,53,26,84,79,1,4,0,0
S01010517,362,362,200,109,62,29,162,158,4,0,0,0
S01010518,293,293,121,70,48,3,172,169,2,1,0,0
S01010519,282,282,269,73,64,132,13,11,2,0,0,0
S01010520,410,410,357,37,154,166,53,48,0,5,0,0
S01010521,339,339,226,65,91,70,113,109,2,2,0,0
S01010522,283,283,121,32,54,35,162,143,13,6,0,0
S01010523,258,258,206,20,80,106,52,51,1,0,0,0
S01010524,234,234,219,168,32,19,13,8,3,2,2,0
S01010525,259,259,255,200,48,7,3,3,0,0,1,0
S01010526,364,364,320,97,131,92,42,37,3,2,2,0
S01010527,455,455,350,49,200,101,103,98,4,1,2,0
S01010528,265,265,246,171,42,33,12,5,7,0,7,0
S01010529,283,283,280,176,92,12,2,0,0,2,1,0
S01010530,278,278,270,186,65,19,4,2,1,1,4,0
S01010531,496,494,448,261,118,69,46,27,4,15,0,2
S01010532,245,245,239,183,43,13,4,2,2,0,2,0
S01010533,272,272,199,125,45,29,73,55,7,11,0,0
S01010534,374,374,329,146,131,52,45,40,2,3,0,0
S01010535,305,305,289,223,55,11,12,7,3,2,4,0
S01010536,397,397,333,44,130,159,64,62,1,1,0,0
S01010537,330,328,249,86,93,70,79,62,4,13,0,2
S01010538,337,337,245,112,110,23,92,88,2,2,0,0
S01010539,496,496,434,177,232,25,61,52,5,4,1,0
S01010540,298,298,281,175,81,25,15,5,9,1,2,0
S01010541,362,362,346,231,72,43,16,12,1,3,0,0
S01010542,388,388,380,236,112,32,6,1,3,2,2,0
S01010543,255,255,249,195,46,8,5,2,2,1,1,0
S01010544,370,370,367,138,160,69,3,2,1,0,0,0
S01010545,344,344,271,132,73,66,73,50,14,9,0,0
S01010546,369,369,255,157,56,42,113,89,9,15,1,0
S01010547,313,313,305,226,73,6,4,2,1,1,4,0
S01010548,299,299,267,218,43,6,30,26,2,2,2,0
S01010549,366,366,347,235,102,10,19,19,0,0,0,0
S01010550,236,236,222,80,105,37,14,12,2,0,0,0
S01010551,267,267,264,194,65,5,3,1,1,1,0,0
S01010552,334,334,325,235,87,3,5,3,2,0,4,0
S01010553,261,261,259,210,42,7,1,1,0,0,1,0
S01010554,396,396,303,98,114,91,92,82,8,2,1,0
S01010555,450,450,282,111,93,78,168,111,25,32,0,0
S01010556,410,410,332,62,135,135,78,74,4,0,0,0
S01010557,278,278,270,113,90,67,7,7,0,0,1,0
S01010558,385,385,303,154,113,36,82,78,3,1,0,0
S01010559,351,351,279,163,85,31,72,63,7,2,0,0
S01010560,291,291,265,157,94,14,26,16,10,0,0,0
S01010561,301,301,276,216,50,10,25,12,13,0,0,0
S01010562,314,314,306,138,168,0,8,7,1,0,0,0
S01010563,211,211,205,28,118,59,6,4,1,1,0,0
S01010564,269,269,204,31,152,21,65,65,0,0,0,0
S01010565,276,276,267,89,149,29,9,9,0,0,0,0
S01010566,453,453,445,344,84,17,4,3,1,0,4,0
S01010567,379,379,368,320,40,8,9,2,6,1,2,0
S01010568,391,391,387,230,100,57,3,3,0,0,1,0
S01010569,295,295,277,229,39,9,18,9,8,1,0,0
S01010570,467,467,443,136,130,177,24,19,2,3,0,0
S01010571,398,398,264,55,186,23,134,131,2,1,0,0
S01010572,336,336,251,14,84,153,85,83,1,1,0,0
S01010573,222,222,208,10,32,166,14,14,0,0,0,0
S01010574,236,236,233,200,30,3,3,3,0,0,0,0
S01010575,284,284,281,233,37,11,3,2,0,1,0,0
S01010576,326,326,325,266,50,9,1,1,0,0,0,0
S01010577,354,354,330,26,108,196,24,22,1,1,0,0
S01010578,203,203,200,30,160,10,3,3,0,0,0,0
S01010579,325,325,317,156,149,12,8,8,0,0,0,0
S01010580,305,305,129,45,48,36,176,173,2,1,0,0
S01010581,243,243,171,62,55,54,72,67,4,1,0,0
S01010582,185,185,156,108,35,13,29,28,1,0,0,0
S01010583,440,440,375,211,159,5,65,64,0,1,0,0
S01010584,312,312,281,185,68,28,31,30,1,0,0,0
S01010585,304,304,262,180,63,19,42,41,1,0,0,0
S01010586,305,305,296,255,39,2,9,6,2,1,0,0
S01010587,293,293,266,179,83,4,26,25,1,0,1,0
S01010588,268,268,232,126,99,7,36,32,4,0,0,0
S01010589,299,299,204,32,77,95,95,95,0,0,0,0
S01010590,293,293,288,280,7,1,4,4,0,0,1,0
S01010591,303,303,223,93,104,26,79,79,0,0,1,0
S01010592,273,273,146,50,91,5,127,126,1,0,0,0
S01010593,259,259,253,186,65,2,6,3,2,1,0,0
S01010594,281,281,194,80,70,44,87,84,2,1,0,0
S01010595,310,310,251,110,129,12,58,57,1,0,1,0
S01010596,310,310,290,209,75,6,19,17,1,1,1,0
S01010597,274,274,219,106,103,10,55,54,1,0,0,0
S01010598,404,404,300,161,132,7,104,103,1,0,0,0
S01010599,248,248,203,129,66,8,44,42,2,0,1,0
S01010600,427,427,336,211,68,57,91,87,2,2,0,0
S01010601,302,302,273,126,143,4,29,27,2,0,0,0
S01010602,260,260,206,53,145,8,54,53,1,0,0,0
S01010603,369,369,314,188,120,6,55,54,1,0,0,0
S01010604,193,193,185,101,80,4,8,6,2,0,0,0
S01010605,387,387,375,256,109,10,12,11,1,0,0,0
S01010606,371,371,324,37,136,151,47,37,8,2,0,0
S01010607,346,346,316,169,137,10,30,23,6,1,0,0
S01010608,306,306,146,24,40,82,160,157,3,0,0,0
S01010609,242,242,197,7,36,154,45,45,0,0,0,0
S01010610,318,318,233,152,65,16,85,70,14,1,0,0
S01010611,496,496,363,20,44,299,133,130,3,0,0,0
S01010612,316,316,311,34,54,223,5,5,0,0,0,0
S01010613,341,341,289,83,120,86,52,49,3,0,0,0
S01010614,264,264,238,16,58,164,26,22,2,2,0,0
S01010615,383,383,254,86,137,31,129,125,3,1,0,0
S01010616,359,359,347,121,214,12,12,5,6,1,0,0
S01010617,360,360,358,111,236,11,2,2,0,0,0,0
S01010618,307,307,304,66,228,10,3,3,0,0,0,0
S01010619,318,318,78,14,43,21,238,201,33,4,2,0
S01010620,369,325,53,9,20,24,272,193,35,44,0,44
S01010621,432,432,244,110,82,52,188,173,15,0,0,0
S01010622,333,333,177,12,66,99,156,151,5,0,0,0
S01010623,278,278,265,43,86,136,13,13,0,0,0,0
S01010624,244,244,215,21,65,129,29,25,3,1,0,0
S01010625,333,333,305,227,67,11,28,21,7,0,0,0
S01010626,368,368,322,189,113,20,46,19,26,1,0,0
S01010627,401,398,235,70,103,62,163,129,31,3,0,3
S01010628,472,467,292,71,119,102,175,131,41,3,0,5
S01010629,445,445,264,92,133,39,181,153,27,1,0,0
S01010630,252,252,126,63,52,11,126,123,3,0,0,0
S01010631,326,326,78,33,26,19,248,246,2,0,0,0
S01010632,486,486,336,61,235,40,150,147,1,2,0,0
S01010633,476,476,393,17,151,225,83,79,3,1,0,0
S01010634,264,264,252,10,104,138,12,11,1,0,0,0
S01010635,351,351,279,13,158,108,71,68,2,1,1,0
S01010636,386,384,298,80,184,34,86,59,26,1,0,2
S01010637,352,352,109,17,43,49,242,205,34,3,1,0
S01010638,417,417,290,45,110,135,127,111,15,1,0,0
S01010639,555,555,266,47,100,119,288,251,36,1,1,0
S01010640,411,411,174,40,72,62,237,187,37,13,0,0
S01010641,531,529,170,34,89,47,359,329,20,10,0,2
S01010642,451,449,264,25,71,168,184,177,3,4,1,2
S01010643,287,287,198,14,56,128,88,85,3,0,1,0
S01010644,346,346,138,17,73,48,207,199,8,0,1,0
S01010645,278,278,189,56,125,8,88,86,1,1,1,0
S01010646,287,287,261,145,108,8,26,25,1,0,0,0
S01010647,306,306,251,51,196,4,54,54,0,0,1,0
S01010648,306,306,216,53,112,51,89,86,3,0,1,0
S01010649,280,280,192,74,84,34,88,74,13,1,0,0
S01010650,196,196,149,93,44,12,42,38,4,0,5,0
S01010651,295,295,263,44,115,104,32,31,1,0,0,0
S01010652,309,309,266,84,103,79,43,42,1,0,0,0
S01010653,300,298,245,49,191,5,53,51,2,0,0,2
S01010654,348,348,307,22,105,180,41,39,2,0,0,0
S01010655,380,380,369,279,74,16,6,1,2,3,5,0
S01010656,182,182,182,99,61,22,0,0,0,0,0,0
S01010657,248,248,244,227,14,3,2,1,0,1,2,0
S01010658,296,296,242,204,26,12,16,2,14,0,38,0
S01010659,276,276,264,217,36,11,8,2,6,0,4,0
S01010660,285,285,258,93,115,50,27,24,2,1,0,0
S01010661,307,307,240,76,75,89,67,50,17,0,0,0
S01010662,310,310,300,196,89,15,10,8,2,0,0,0
S01010663,381,381,361,334,22,5,11,9,2,0,9,0
S01010664,337,337,330,291,31,8,2,2,0,0,5,0
S01010665,430,430,393,273,84,36,27,21,5,1,10,0
S01010666,416,416,398,203,134,61,16,11,3,2,2,0
S01010667,288,288,277,200,57,20,6,2,4,0,5,0
S01010668,503,502,461,285,110,66,35,14,15,6,6,1
S01010669,266,266,262,190,62,10,1,0,1,0,3,0
S01010670,296,296,270,185,68,17,19,11,0,8,7,0
S01010671,329,329,311,193,74,44,15,9,6,0,3,0
S01010672,321,321,271,94,125,52,50,46,1,3,0,0
S01010673,419,419,358,249,80,29,43,34,5,4,18,0
S01010674,419,419,395,259,106,30,16,10,6,0,8,0
S01010675,273,273,265,223,36,6,4,2,1,1,4,0
S01010676,392,392,379,309,57,13,9,6,1,2,4,0
S01010677,224,224,219,177,11,31,4,3,0,1,1,0
S01010678,273,273,265,233,26,6,8,6,1,1,0,0
S01010679,282,282,218,102,76,40,64,55,4,5,0,0
S01010680,315,315,300,114,121,65,15,10,5,0,0,0
S01010681,461,461,378,98,256,24,82,80,2,0,1,0
S01010682,398,398,385,343,25,17,11,6,4,1,2,0
S01010683,423,423,409,350,45,14,8,6,2,0,6,0
S01010684,361,361,352,306,39,7,7,2,3,2,2,0
S01010685,294,294,284,243,31,10,2,2,0,0,8,0
S01010686,309,309,285,239,38,8,14,6,4,4,10,0
S01010687,379,379,365,257,94,14,13,4,7,2,1,0
S01010688,335,335,323,244,58,21,6,2,0,4,6,0
S01010689,378,378,362,257,97,8,16,7,5,4,0,0
S01010690,330,328,295,70,164,61,33,17,4,12,0,2
S01010691,325,325,314,265,37,12,6,1,4,1,5,0
S01010692,307,307,242,96,120,26,64,60,1,3,1,0
S01010693,216,216,209,191,12,6,4,4,0,0,3,0
S01010694,270,270,259,205,47,7,11,7,2,2,0,0
S01010695,304,304,297,232,40,25,4,3,1,0,3,0
S01010696,402,402,361,170,133,58,40,15,22,3,1,0
S01010697,458,458,454,310,127,17,3,0,3,0,1,0
S01010698,338,338,326,216,96,14,11,8,1,2,1,0
S01010699,250,250,247,168,49,30,3,2,1,0,0,0
S01010700,258,258,254,173,62,19,4,3,1,0,0,0
S01010701,432,432,399,169,152,78,33,25,7,1,0,0
S01010702,417,417,409,331,53,25,7,5,2,0,1,0
S01010703,341,341,337,283,44,10,4,3,1,0,0,0
S01010704,300,300,292,86,139,67,8,7,1,0,0,0
S01010705,463,463,400,203,183,14,63,55,4,4,0,0
S01010706,293,293,264,83,149,32,26,15,6,5,3,0
S01010707,265,265,259,215,34,10,2,0,0,2,4,0
S01010708,252,252,246,102,102,42,6,4,2,0,0,0
S01010709,299,299,295,162,109,24,4,2,2,0,0,0
S01010710,316,316,302,65,147,90,14,10,4,0,0,0
S01010711,319,319,309,232,60,17,10,8,0,2,0,0
S01010712,269,269,248,52,118,78,21,20,1,0,0,0
S01010713,322,322,315,27,82,206,7,6,1,0,0,0
S01010714,380,380,209,39,96,74,171,157,3,11,0,0
S01010715,340,340,319,66,118,135,21,9,9,3,0,0
S01010716,444,444,213,87,83,43,231,201,13,17,0,0
S01010717,272,272,266,209,48,9,6,6,0,0,0,0
S01010718,393,393,323,228,63,32,70,67,3,0,0,0
S01010719,282,282,266,112,117,37,16,10,4,2,0,0
S01010720,336,336,322,203,82,37,14,6,8,0,0,0
S01010721,296,296,279,180,62,37,17,7,6,4,0,0
S01010722,394,394,379,110,168,101,14,2,12,0,1,0
S01010723,329,329,315,267,33,15,11,5,6,0,3,0
S01010724,354,354,339,228,80,31,13,6,4,3,2,0
S01010725,287,287,280,246,33,1,4,0,3,1,3,0
S01010726,415,415,398,264,99,35,15,15,0,0,2,0
S01010727,243,243,240,198,37,5,2,1,1,0,1,0
S01010728,204,204,201,174,23,4,1,0,0,1,2,0
S01010729,269,269,268,234,27,7,1,1,0,0,0,0
S01010730,343,343,340,263,56,21,1,0,0,1,2,0
S01010731,399,399,368,141,108,119,31,19,8,4,0,0
S01010732,334,334,327,69,67,191,6,6,0,0,1,0
S01010733,246,246,238,26,119,93,8,6,1,1,0,0
S01010734,362,362,334,72,113,149,28,12,15,1,0,0
S01010735,244,244,225,55,40,130,19,14,5,0,0,0
S01010736,218,218,217,157,57,3,1,1,0,0,0,0
S01010737,487,487,452,195,172,85,35,26,2,7,0,0
S01010738,235,235,231,42,184,5,4,4,0,0,0,0
S01010739,388,388,344,66,176,102,43,30,8,5,1,0
S01010740,260,260,197,17,61,119,63,61,1,1,0,0
S01010741,249,249,237,122,79,36,12,12,0,0,0,0
S01010742,308,308,255,64,69,122,50,43,4,3,3,0
S01010743,273,273,260,15,54,191,13,13,0,0,0,0
S01010744,459,459,446,119,191,136,13,13,0,0,0,0
S01010745,327,327,244,76,88,80,82,68,10,4,1,0
S01010746,441,441,425,273,94,58,15,10,4,1,1,0
S01010747,357,357,345,131,117,97,12,7,4,1,0,0
S01010748,280,280,270,158,84,28,8,6,1,1,2,0
S01010749,261,261,257,155,61,41,3,1,2,0,1,0
S01010750,287,287,285,169,67,49,2,1,1,0,0,0
S01010751,333,333,325,61,132,132,8,1,5,2,0,0
S01010752,332,332,291,74,88,129,40,29,8,3,1,0
S01010753,434,434,360,184,91,85,74,70,3,1,0,0
S01010754,357,357,275,108,101,66,82,61,11,10,0,0
S01010755,298,298,271,48,181,42,26,15,6,5,1,0
S01010756,286,286,271,189,72,10,15,15,0,0,0,0
S01010757,365,365,352,240,104,8,13,2,7,4,0,0
S01010758,305,305,299,168,93,38,5,3,0,2,1,0
S01010759,279,279,237,53,149,35,42,38,0,4,0,0
S01010760,306,306,285,155,112,18,21,13,2,6,0,0
S01010761,222,222,216,179,31,6,3,1,0,2,3,0
S01010762,263,263,261,182,59,20,1,0,0,1,1,0
S01010763,316,313,306,140,138,28,6,2,2,2,1,3
S01010764,289,289,283,222,59,2,2,0,1,1,4,0
S01010765,471,471,456,271,161,24,12,6,3,3,3,0
S01010766,359,359,343,119,169,55,15,11,3,1,1,0
S01010767,347,347,325,104,147,74,22,20,0,2,0,0
S01010768,284,284,278,47,183,48,6,4,0,2,0,0
S01010769,217,217,215,196,11,8,1,1,0,0,1,0
S01010770,385,385,366,118,184,64,18,14,0,4,1,0
S01010771,445,445,424,204,168,52,21,12,3,6,0,0
S01010772,376,376,372,228,123,21,2,2,0,0,2,0
S01010773,336,336,324,250,67,7,6,6,0,0,6,0
S01010774,325,325,314,140,110,64,7,4,0,3,4,0
S01010775,266,266,257,157,92,8,6,6,0,0,3,0
S01010776,266,266,228,18,51,159,38,29,7,2,0,0
S01010777,270,270,183,20,56,107,87,80,7,0,0,0
S01010778,239,239,172,23,72,77,66,63,3,0,1,0
S01010779,355,355,214,57,104,53,141,139,1,1,0,0
S01010780,261,261,231,62,104,65,30,30,0,0,0,0
S01010781,350,350,298,87,69,142,52,44,4,4,0,0
S01010782,293,293,215,75,83,57,78,52,10,16,0,0
S01010783,275,275,189,22,79,88,85,83,1,1,1,0
S01010784,345,345,340,33,143,164,5,3,1,1,0,0
S01010785,301,301,263,195,35,33,38,34,4,0,0,0
S01010786,255,255,252,135,105,12,3,3,0,0,0,0
S01010787,384,384,373,219,137,17,6,6,0,0,5,0
S01010788,274,274,260,170,76,14,14,12,2,0,0,0
S01010789,292,292,283,169,88,26,3,2,1,0,6,0
S01010790,282,282,274,235,36,3,5,5,0,0,3,0
S01010791,369,369,364,280,76,8,4,4,0,0,1,0
S01010792,287,287,281,59,156,66,6,5,1,0,0,0
S01010793,275,275,274,174,84,16,1,1,0,0,0,0
S01010794,234,234,217,144,47,26,16,16,0,0,1,0
S01010795,445,445,432,234,160,38,13,6,7,0,0,0
S01010796,341,341,336,290,41,5,1,1,0,0,4,0
S01010797,329,329,326,207,107,12,2,2,0,0,1,0
S01010798,293,293,289,190,76,23,4,1,2,1,0,0
S01010799,530,528,358,48,135,175,169,135,16,18,1,2
S01010800,360,360,324,15,170,139,36,35,1,0,0,0
S01010801,354,354,345,21,124,200,9,5,1,3,0,0
S01010802,263,263,207,29,128,50,56,55,0,1,0,0
S01010803,280,280,210,31,136,43,70,65,4,1,0,0
S01010804,283,283,249,84,118,47,34,32,0,2,0,0
S01010805,377,377,330,105,148,77,47,36,10,1,0,0
S01010806,458,458,417,91,162,164,41,36,5,0,0,0
S01010807,244,244,218,15,180,23,26,19,6,1,0,0
S01010808,230,230,209,13,153,43,21,21,0,0,0,0
S01010809,328,328,321,165,140,16,7,5,1,1,0,0
S01010810,249,249,245,179,44,22,2,0,0,2,2,0
S01010811,414,414,409,300,80,29,5,4,0,1,0,0
S01010812,238,238,233,169,53,11,1,0,1,0,4,0
S01010813,249,249,208,88,97,23,38,26,6,6,3,0
S01010814,307,307,297,232,60,5,3,1,1,1,7,0
S01010815,208,208,207,128,73,6,1,1,0,0,0,0
S01010816,293,291,143,95,37,11,148,105,39,4,0,2
S01010817,376,376,305,206,59,40,71,54,15,2,0,0
