Datazone 2011,All households,Unshared dwelling: Total,Unshared dwelling: Whole house or bungalow,Unshared dwelling: Whole house or bungalow: Detached,Unshared dwelling: Whole house or bungalow: Semi-detached,Unshared dwelling: Whole house or bungalow: Terraced (including end-terrace),"Unshared dwelling: Flat, maisonette or apartment","Unshared dwelling: Flat, maisonette or apartment: Purpose-built block of flats or tenement","Unshared dwelling: Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Unshared dwelling: Flat, maisonette or apartment: In a commercial building",Unshared dwelling: Caravan or other mobile or temporary structure,Shared dwelling
S01006732,353,353,313,244,59,10,27,14,13,0,13,0
S01006733,309,309,304,233,66,5,5,4,0,1,0,0
S01006734,352,352,326,187,133,6,26,25,0,1,0,0
S01006735,245,245,242,187,32,23,3,3,0,0,0,0
S01006736,395,395,384,199,171,14,11,10,1,0,0,0
S01006737,265,265,258,159,81,18,7,7,0,0,0,0
S01006738,453,453,97,48,30,19,313,280,30,3,43,0
S01006739,309,309,157,24,48,85,127,113,13,1,25,0
S01006740,335,335,291,9,135,147,44,42,2,0,0,0
S01006741,342,342,327,8,64,255,15,14,1,0,0,0
S01006742,233,233,223,4,27,192,10,9,1,0,0,0
S01006743,271,271,178,29,115,34,93,87,6,0,0,0
S01006744,302,302,125,22,50,53,177,133,43,1,0,0
S01006745,409,409,189,30,62,97,220,205,14,1,0,0
S01006746,350,350,329,8,224,97,21,18,2,1,0,0
S01006747,368,368,352,14,286,52,16,9,2,5,0,0
S01006748,408,408,309,152,89,68,99,88,9,2,0,0
S01006749,419,419,286,43,108,135,133,132,1,0,0,0
S01006750,292,292,225,19,128,78,67,66,0,1,0,0
S01006751,241,241,156,26,89,41,83,77,5,1,2,0
S01006752,339,339,241,10,146,85,96,96,0,0,2,0
S01006753,410,410,338,120,166,52,72,59,12,1,0,0
S01006754,400,400,338,122,186,30,62,61,1,0,0,0
S01006755,289,289,235,120,108,7,51,50,0,1,3,0
S01006756,286,286,140,79,18,43,146,143,3,0,0,0
S01006757,343,343,282,73,179,30,61,60,1,0,0,0
S01006758,318,318,238,104,130,4,80,78,2,0,0,0
S01006759,251,251,225,114,104,7,26,26,0,0,0,0
S01006760,235,235,178,25,68,85,57,52,5,0,0,0
S01006761,334,334,271,97,145,29,63,63,0,0,0,0
S01006762,416,416,367,114,193,60,49,47,2,0,0,0
S01006763,334,334,327,54,158,115,7,5,2,0,0,0
S01006764,345,345,295,36,175,84,50,49,1,0,0,0
S01006765,273,273,192,39,117,36,81,79,2,0,0,0
S01006766,240,240,220,143,54,23,20,20,0,0,0,0
S01006767,283,283,277,82,88,107,6,6,0,0,0,0
S01006768,212,212,209,189,19,1,3,3,0,0,0,0
S01006769,392,392,380,82,164,134,12,12,0,0,0,0
S01006770,273,273,269,62,197,10,4,4,0,0,0,0
S01006771,150,150,147,80,64,3,3,3,0,0,0,0
S01006772,375,375,303,64,233,6,72,70,2,0,0,0
S01006773,255,255,252,78,171,3,3,3,0,0,0,0
S01006774,221,221,216,100,114,2,5,5,0,0,0,0
S01006775,319,319,170,21,76,73,149,141,8,0,0,0
S01006776,271,271,148,4,102,42,123,119,4,0,0,0
S01006777,262,262,259,80,172,7,3,3,0,0,0,0
S01006778,287,287,260,41,172,47,27,27,0,0,0,0
S01006779,293,293,203,10,79,114,90,84,6,0,0,0
S01006780,254,254,231,34,98,99,23,16,7,0,0,0
S01006781,295,295,277,25,209,43,18,18,0,0,0,0
S01006782,341,341,231,113,83,35,110,108,2,0,0,0
S01006783,299,299,257,17,200,40,41,41,0,0,1,0
S01006784,302,302,199,40,139,20,103,100,2,1,0,0
S01006785,223,223,197,102,86,9,26,26,0,0,0,0
S01006786,339,339,279,121,140,18,60,58,2,0,0,0
S01006787,281,281,278,82,116,80,3,2,1,0,0,0
S01006788,302,302,247,94,118,35,33,29,0,4,22,0
S01006789,290,290,246,144,78,24,44,39,1,4,0,0
S01006790,444,444,394,167,163,64,50,42,3,5,0,0
S01006791,253,253,235,199,30,6,16,14,2,0,2,0
S01006792,214,214,210,166,40,4,4,1,3,0,0,0
S01006793,245,245,221,123,87,11,24,12,5,7,0,0
S01006794,280,280,275,116,120,39,5,4,1,0,0,0
S01006795,319,319,263,204,49,10,56,45,8,3,0,0
S01006796,222,222,216,160,49,7,6,4,1,1,0,0
S01006797,243,243,235,187,37,11,7,1,2,4,1,0
S01006798,225,225,220,198,16,6,4,2,1,1,1,0
S01006799,403,403,359,134,201,24,44,34,4,6,0,0
S01006800,320,320,311,258,46,7,8,2,5,1,1,0
S01006801,353,353,346,279,60,7,7,4,2,1,0,0
S01006802,298,298,254,153,79,22,43,35,6,2,1,0
S01006803,313,313,281,63,168,50,32,29,2,1,0,0
S01006804,295,295,273,167,71,35,22,21,1,0,0,0
S01006805,442,442,384,213,91,80,52,39,8,5,6,0
S01006806,429,429,421,269,104,48,8,6,1,1,0,0
S01006807,243,243,238,98,69,71,3,2,0,1,2,0
S01006808,248,248,242,192,42,8,4,3,1,0,2,0
S01006809,354,354,345,137,146,62,9,8,0,1,0,0
S01006810,370,370,331,167,108,56,39,29,8,2,0,0
S01006811,430,430,418,242,112,64,12,4,7,1,0,0
S01006812,304,304,295,155,119,21,7,2,5,0,2,0
S01006813,322,322,267,80,137,50,55,43,11,1,0,0
S01006814,282,282,273,229,42,2,9,9,0,0,0,0
S01006815,285,285,194,48,76,70,91,89,1,1,0,0
S01006816,298,298,257,146,50,61,41,31,6,4,0,0
S01006817,261,261,239,125,84,30,22,21,1,0,0,0
S01006818,278,278,275,194,74,7,2,0,2,0,1,0
S01006819,313,313,305,190,77,38,6,4,2,0,2,0
S01006820,180,180,177,72,62,43,3,2,1,0,0,0
S01006821,229,229,220,192,26,2,9,4,4,1,0,0
S01006822,279,279,275,228,42,5,3,0,3,0,1,0
S01006823,302,302,230,157,29,44,72,60,12,0,0,0
S01006824,367,367,206,14,67,125,161,158,2,1,0,0
S01006825,333,333,329,54,163,112,4,2,2,0,0,0
S01006826,344,344,328,188,69,71,15,15,0,0,1,0
S01006827,419,419,319,55,137,127,100,83,14,3,0,0
S01006828,485,483,231,48,98,85,252,215,29,8,0,2
S01006829,139,139,138,106,29,3,1,1,0,0,0,0
S01006830,301,301,279,88,154,37,22,22,0,0,0,0
S01006831,221,221,220,93,89,38,1,1,0,0,0,0
S01006832,424,424,303,147,118,38,121,91,17,13,0,0
S01006833,175,175,162,95,49,18,13,0,12,1,0,0
S01006834,163,163,161,121,30,10,2,2,0,0,0,0
S01006835,478,478,181,31,53,97,296,234,31,31,1,0
S01006836,210,210,123,104,17,2,87,82,5,0,0,0
S01006837,230,230,211,93,97,21,19,17,1,1,0,0
S01006838,249,249,239,118,115,6,9,8,1,0,1,0
S01006839,450,450,437,75,227,135,13,10,2,1,0,0
S01006840,366,366,364,297,63,4,2,2,0,0,0,0
S01006841,344,344,341,188,129,24,3,3,0,0,0,0
S01006842,308,308,303,105,181,17,5,5,0,0,0,0
S01006843,312,312,307,143,151,13,5,5,0,0,0,0
S01006844,332,332,239,81,150,8,92,87,5,0,1,0
S01006845,366,366,333,161,147,25,33,32,1,0,0,0
S01006846,240,240,214,31,147,36,26,26,0,0,0,0
S01006847,238,238,237,109,123,5,1,1,0,0,0,0
S01006848,364,364,293,222,52,19,5,1,4,0,66,0
S01006849,355,355,317,192,107,18,38,37,1,0,0,0
S01006850,365,365,364,29,128,207,1,0,1,0,0,0
S01006851,337,337,306,65,132,109,31,29,1,1,0,0
S01006852,229,229,225,136,81,8,4,4,0,0,0,0
S01006853,318,318,313,260,47,6,4,2,0,2,1,0
S01006854,364,364,361,202,134,25,3,2,1,0,0,0
S01006855,294,294,288,231,41,16,6,4,2,0,0,0
S01006856,254,254,245,182,52,11,9,2,3,4,0,0
S01006857,398,398,379,273,92,14,15,10,4,1,4,0
S01006858,240,240,238,200,25,13,0,0,0,0,2,0
S01006859,421,421,365,322,41,2,56,55,1,0,0,0
S01006860,264,264,223,42,54,127,41,39,2,0,0,0
S01006861,195,195,194,151,42,1,1,1,0,0,0,0
S01006862,312,312,276,109,132,35,36,28,5,3,0,0
S01006863,295,295,292,117,76,99,2,2,0,0,1,0
S01006864,165,165,144,62,67,15,21,21,0,0,0,0
S01006865,424,424,266,184,69,13,158,112,21,25,0,0
S01006866,220,220,218,179,33,6,2,2,0,0,0,0
S01006867,293,293,270,205,56,9,23,15,8,0,0,0
S01006868,364,364,352,124,161,67,11,6,5,0,1,0
S01006869,197,197,186,131,40,15,9,3,4,2,2,0
S01006870,196,196,187,117,61,9,9,8,0,1,0,0
S01006871,265,265,253,172,71,10,12,11,0,1,0,0
S01006872,252,252,250,221,28,1,2,0,2,0,0,0
S01006873,426,426,389,293,59,37,37,36,1,0,0,0
S01006874,216,216,213,192,19,2,3,1,1,1,0,0
S01006875,321,321,307,137,147,23,14,9,2,3,0,0
