table_2025-11-20_14-28-03
SuperWEB2(tm),,,,,,,,,,,
,,,,,,,,,,,
housedhold2022ReadOnly,,,,,,,,,,,
Scotland's Census 2022 - National Records of Scotland Table UV402 - Accommodation type - Households All occupied households,,,,,,,,,,,
Intermediate Zone - Data Zone 2011 by Type of accomodation,,,,,,,,,,,
Counting: Households,,,,,,,,,,,
,,,,,,,,,,,
Filters:,,,,,,,,,,,
Default Summation,Households,,,,,,,,,,
Percentage: Row,,,,,,,,,,,
,,,,,,,,,,,
Type of accomodation,All occupied households,Whole house or bungalow: Total,Whole house or bungalow: Detached,Whole house or bungalow: Semi-detached,Whole house or bungalow: Terraced (including end-terrace),"Flat, maisonette or apartment: Total","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building",Caravan or other mobile or temporary structure,
Intermediate Zone - Data Zone 2011,,,,,,,,,,,
S01006627,100,6.6079295,0.660793,3.7444934,2.2026432,93.3920705,88.1057269,5.9471366,0,0,
S01006628,100,4.536862,0.7561437,1.7013233,2.268431,95.463138,89.9810964,4.1587902,1.7013233,0.3780718,
S01006629,100,27.8735632,2.8735632,21.5517241,3.4482759,72.1264368,69.8275862,2.2988506,0,0,
S01006630,100,52.8052805,3.630363,33.0033003,16.1716172,47.1947195,45.5445545,1.320132,0,0,
S01006631,100,31.0272537,3.9832285,15.3039832,11.7400419,68.7631027,64.360587,4.1928721,0,0,
S01006632,100,6.7204301,2.4193548,3.2258065,1.8817204,93.2795699,92.2043011,0.2688172,0,0,
S01006633,100,52.8571429,5,21.4285714,26.7857143,46.7857143,42.8571429,3.9285714,0,0,
S01006634,100,34.5528455,4.4715447,13.0081301,15.8536585,65.0406504,61.7886179,2.8455285,0.4065041,0.4065041,
S01006635,100,32.885906,4.0268456,9.3959732,19.4630872,67.114094,63.0872483,3.6912752,0.3355705,0,
S01006636,100,16.2371134,2.0618557,4.6391753,10.0515464,83.7628866,81.9587629,1.8041237,0,0,
S01006637,100,24.0223464,3.0726257,3.3519553,17.3184358,76.2569832,73.1843575,2.2346369,0,0,
S01006638,100,3.777336,0.1988072,1.9880716,1.5904573,96.222664,91.6500994,4.5725646,0,0,
S01006639,100,8.4690554,0.9771987,2.6058632,4.2345277,92.1824104,88.2736156,1.7915309,1.6286645,0,
S01006640,100,3.9832285,1.048218,0.8385744,2.5157233,95.8071279,95.3878407,0.6289308,0,0,
S01006641,100,5.6478405,0.4983389,0.8305648,4.1528239,94.3521595,91.5282392,2.9900332,0.166113,0,
S01006642,100,4.6464646,1.010101,2.020202,1.8181818,96.1616162,91.5151515,3.2323232,0.6060606,0,
S01006643,100,4.3010753,2.1505376,0.2688172,1.8817204,96.7741935,94.6236559,1.8817204,0,0,
S01006644,100,1.8927445,0.6309148,0.6309148,0.6309148,98.1072555,97.6340694,0.4731861,0,0,
S01006645,100,2.7700831,0.5540166,1.1080332,1.1080332,97.2299169,95.8448753,1.1080332,1.3850416,0,
S01006646,100,1.2539185,0.9404389,0.3134796,0,98.4326019,92.7899687,1.8808777,4.3887147,0,
S01006647,100,6.6066066,2.1021021,1.8018018,2.7027027,93.3933934,91.5915916,0.6006006,1.2012012,0,
S01006648,100,2.6315789,0.1644737,1.9736842,0.9868421,97.3684211,91.7763158,2.7960526,2.7960526,0,
S01006649,100,3.5836177,0.6825939,1.3651877,1.5358362,96.4163823,94.1979522,1.8771331,0.3412969,0,
S01006650,100,13.9949109,2.2900763,5.8524173,5.8524173,86.0050891,77.3536896,8.3969466,0,0,
