table_2025-11-20_14-28-03
SuperWEB2(tm),,,,,,,,,,,
,,,,,,,,,,,
housedhold2022ReadOnly,,,,,,,,,,,
Scotland's Census 2022 - National Records of Scotland Table UV402 - Accommodation type - Households All occupied households,,,,,,,,,,,
Intermediate Zone - Data Zone 2011 by Type of accomodation,,,,,,,,,,,
Counting: Households,,,,,,,,,,,
,,,,,,,,,,,
Filters:,,,,,,,,,,,
Default Summation,Households,,,,,,,,,,
Percentage: Row,,,,,,,,,,,
,,,,,,,,,,,
Type of accomodation,All occupied households,Whole house or bungalow: Total,Whole house or bungalow: Detached,Whole house or bungalow: Semi-detached,Whole house or bungalow: Terraced (including end-terrace),"Flat, maisonette or apartment: Total","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building",Caravan or other mobile or temporary structure,
Intermediate Zone - Data Zone 2011,,,,,,,,,,,
S01010198,100,34.8773842,2.4523161,15.2588556,17.4386921,65.1226158,64.5776567,0.5449591,0,0,
S01010199,100,81.7829457,5.0387597,39.1472868,39.1472868,18.2170543,17.4418605,0.7751938,0,0,
S01010200,100,72.5423729,3.0508475,42.7118644,27.1186441,27.4576271,26.779661,0.3389831,0,0,
S01010201,100,83.3333333,8.1300813,63.8211382,13.0081301,16.6666667,15.8536585,0.4065041,0,0.8130081,
S01010202,100,20.5729167,2.0833333,10.6770833,8.3333333,78.90625,78.6458333,0.2604167,0,0.5208333,
S01010203,100,77.385159,8.1272085,51.9434629,17.3144876,22.614841,21.5547703,1.7667845,0,0,
S01010204,100,17.8362573,1.1695906,12.2807018,4.6783626,82.1637427,82.1637427,0,0,0,
S01010205,100,24.4755245,0.3496503,5.2447552,18.8811189,74.8251748,74.8251748,0,0,0.3496503,
S01010206,0,0,0,0,0,0,0,0,0,0,
S01010207,100,18.75,0,9.8214286,7.1428571,83.0357143,83.0357143,0,0,0,
S01010208,100,5.904059,0.5535055,1.8450185,3.1365314,93.9114391,93.1734317,0.1845018,0.7380074,0,
S01010209,100,30.46875,0.390625,10.7421875,19.921875,69.140625,68.75,0.390625,0,0.390625,
S01010210,100,47.1882641,1.2224939,21.7603912,24.205379,52.8117359,50.8557457,2.200489,0,0,
S01010211,100,10.4395604,0.5494505,5.4945055,4.3956044,90.6593407,89.5604396,0.8241758,0.5494505,0,
S01010212,100,14.1812865,0.877193,3.6549708,9.7953216,85.5263158,84.502924,0.877193,0,0.2923977,
S01010213,100,20.0883002,0.2207506,16.3355408,4.415011,80.5739514,79.6909492,0,0.2207506,0,
S01010214,100,94.9109415,15.5216285,56.4885496,22.1374046,5.5979644,5.5979644,0,0,0.2544529,
S01010215,100,14.7637795,2.1653543,5.3149606,6.6929134,85.2362205,85.2362205,0,0,0,
S01010216,100,10.1851852,1.2345679,3.3950617,4.0123457,89.8148148,89.1975309,0.308642,0.308642,0,
S01010217,100,23.5955056,1.8726592,5.2434457,16.8539326,76.0299625,74.5318352,0.3745318,0,0.3745318,
S01010218,100,2.8933092,0.7233273,0.9041591,0.9041591,97.1066908,96.0216998,0.5424955,0.5424955,0,
S01010219,100,16.2162162,1.3513514,8.1081081,1.3513514,86.4864865,85.1351351,0,2.7027027,1.3513514,
S01010220,100,1.4814815,0.3703704,0.3703704,1.1111111,98.5185185,94.0740741,3.7037037,1.4814815,0,
S01010221,100,28.5333333,2.6666667,10.6666667,15.2,70.1333333,70.6666667,0.5333333,0,0.2666667,
S01010222,100,13.0890052,2.8795812,2.8795812,6.8062827,86.9109948,86.3874346,0.5235602,0,0,
S01010223,100,18.0952381,2.5396825,5.0793651,10.4761905,81.5873016,81.2698413,0,0,0.3174603,
S01010224,100,36.3636364,4.2553191,18.3752418,14.3133462,62.8626692,61.5087041,0.7736944,0.7736944,0.5802708,
S01010225,100,14.3181818,1.5909091,3.8636364,8.1818182,85.2272727,84.0909091,0.9090909,0.2272727,0.6818182,
S01010226,0,0,0,0,0,0,0,0,0,0,
S01010227,0,0,0,0,0,0,0,0,0,0,
S01010228,100,27.2241993,2.3131673,16.5480427,8.3629893,72.7758007,71.7081851,1.0676157,0,0,
S01010229,100,27.0408163,1.8707483,17.6870748,7.4829932,72.9591837,72.4489796,0.5102041,0,0,
S01010230,100,6.9444444,1.6975309,1.5432099,4.0123457,92.5925926,91.3580247,0.462963,0.617284,0.617284,
S01010231,100,19.9186992,2.0325203,9.3495935,9.1463415,79.6747967,79.2682927,0.8130081,0,0,
S01010232,100,36.8421053,2.4767802,24.4582043,9.9071207,63.1578947,63.1578947,0,0,0,
S01010233,100,25.2077562,2.2160665,16.066482,6.9252078,74.7922438,74.7922438,0.5540166,0.5540166,0,
S01010234,100,0.5263158,0,0,0.3508772,98.9473684,98.4210526,0.3508772,0,0.1754386,
S01010235,100,2.0050125,0.5012531,0.7518797,0.5012531,97.9949875,97.4937343,0,0,0,
S01010236,100,13.9473684,1.5789474,2.8947368,9.4736842,86.0526316,80,6.0526316,0,0,
S01010237,100,0.8695652,0,0.2898551,0.5797101,99.1304348,99.1304348,0,0,0,
S01010238,100,1.7456359,0.4987531,0.7481297,0.4987531,98.2543641,98.0049875,0.2493766,0,0,
S01010239,100,3.3412888,0,0.9546539,2.3866348,96.6587112,95.2267303,0.7159905,0.7159905,0,
S01010240,100,2.25,0.5,0.75,0.75,98,97.75,0,0,0,
S01010241,100,4.0257649,0.6441224,0.805153,2.5764895,95.9742351,94.3639291,1.610306,0,0,
S01010242,100,5.3299492,0,3.5532995,1.7766497,93.1472081,92.893401,0.2538071,0,1.5228426,
S01010243,100,1.7152659,0,0.6861063,0.8576329,98.1132075,97.7701544,0.3430532,0,0.3430532,
S01010244,100,6.1046512,0.872093,2.6162791,2.6162791,89.8255814,88.6627907,0,1.1627907,3.1976744,
S01010245,100,32.6781327,4.4226044,14.004914,14.2506143,66.0933661,66.0933661,0,0,1.2285012,
S01010246,100,18.6761229,1.4184397,12.2931442,4.964539,81.0874704,81.0874704,0,0,0.2364066,
S01010247,100,67.7261614,1.2224939,35.207824,31.7848411,31.5403423,31.5403423,0,0,0.7334963,
S01010248,100,0.8791209,0,0,0.2197802,99.5604396,99.5604396,0,0,0,
S01010249,100,1.2468828,0,0.4987531,0.7481297,97.755611,97.0074813,0.7481297,0,0,
S01010250,100,1.5424165,0,0.7712082,0.2570694,97.6863753,96.4010283,0.5141388,1.0282776,0,
S01010251,100,6.3291139,0,3.4810127,3.7974684,92.4050633,92.721519,0.6329114,0,0,
S01010252,100,15.916955,2.0761246,2.0761246,11.7647059,84.083045,77.1626298,6.5743945,0.6920415,0,
S01010253,100,3.8997214,0.5571031,1.6713092,1.9498607,96.1002786,94.9860724,1.1142061,0,0,
S01010254,100,7.7651515,0.1893939,1.5151515,6.4393939,92.2348485,91.2878788,0.7575758,0.1893939,0,
S01010255,100,15.0537634,2.7956989,4.7311828,6.8817204,84.7311828,83.4408602,1.0752688,0.2150538,0.2150538,
S01010256,100,1.4787431,0,0,1.1090573,98.8909427,98.336414,0,0,0,
S01010257,100,1.5267176,0.1908397,0.7633588,0.1908397,98.6641221,95.610687,0.1908397,2.480916,0,
S01010258,100,3.4146341,0,0.2439024,2.9268293,96.5853659,95.6097561,0.2439024,0.2439024,0,
S01010259,100,2.2267206,0.8097166,0.2024291,1.2145749,97.7732794,96.3562753,0.2024291,0.4048583,0,
S01010260,100,1.0540184,0,0.6587615,0.3952569,98.9459816,92.8853755,1.3175231,5.0065876,0,
S01010261,100,2.7613412,0.7889546,0.3944773,1.5779093,96.8441815,95.8579882,0.1972387,0.1972387,0,
S01010262,100,1.7307692,0.3846154,0.9615385,0.7692308,98.2692308,96.3461538,1.1538462,0.7692308,0,
S01010263,100,0.9237875,0.4618938,0,0.2309469,99.0762125,91.9168591,2.0785219,5.0808314,0,
S01010264,100,0.8547009,0.1709402,0,0.6837607,99.8290598,96.0683761,0,2.7350427,0,
S01010265,100,0.5940594,0,0.1980198,0.3960396,99.4059406,85.1485149,2.970297,12.6732673,0,
S01010266,100,3.8461538,1.3986014,0.6993007,1.048951,96.1538462,94.7552448,1.3986014,0.6993007,0,
S01010267,100,1.3937282,0,0,1.3937282,98.2578397,91.9860627,2.4390244,4.1811847,0,
S01010268,100,3.0162413,1.3921114,0.9280742,0.9280742,96.9837587,90.487239,5.800464,0.2320186,0,
S01010269,100,0.6896552,0.3448276,0.3448276,0.3448276,98.9655172,97.2413793,1.0344828,1.3793103,0,
S01010270,100,1.076555,0.2392344,0.3588517,0.3588517,98.923445,97.0095694,0.8373206,1.076555,0,
S01010271,100,3.3149171,1.6574586,0.5524862,1.1049724,97.5138122,88.6740331,2.2099448,4.9723757,0.2762431,
S01010272,100,2.5956284,0.6830601,0.5464481,1.3661202,96.9945355,93.442623,0.5464481,2.4590164,0,
S01010273,100,1.5981735,0.2283105,0.456621,0.6849315,98.8584475,94.9771689,1.369863,2.5114155,0,
S01010274,100,3.1578947,0.5263158,1.0526316,1.3157895,97.6315789,93.1578947,2.1052632,2.8947368,0,
S01010275,100,0.2631579,0,0.2631579,0,99.7368421,87.1052632,2.3684211,10.5263158,0,
S01010276,100,1.1925043,0,0.5110733,0.5110733,98.8074957,96.9335605,1.1925043,0.681431,0,
S01010277,100,1.4742015,0,0.2457002,1.2285012,98.2800983,98.034398,0,0,0.2457002,
S01010278,100,3.2967033,0,0,3.2967033,96.7032967,96.4285714,0.2747253,0,0,
S01010279,100,1.2861736,0.3215434,0.3215434,1.607717,97.4276527,96.4630225,0.6430868,0.3215434,0.3215434,
S01010280,100,3.7113402,0.8247423,0.4123711,2.2680412,96.2886598,87.8350515,5.9793814,2.2680412,0,
S01010281,100,2.1008403,0.4201681,0.6302521,0.4201681,99.1596639,97.6890756,1.0504202,0.4201681,0,
S01010282,100,0.3350084,0,0,0.3350084,99.1624791,97.9899497,1.0050251,0.1675042,0.1675042,
S01010283,100,1.6666667,0.5555556,0.9259259,0.3703704,98.1481481,98.3333333,0.1851852,0,0,
S01010284,100,2.0319303,0,0.2902758,1.161103,97.9680697,95.2104499,2.1770682,0.5805515,0,
S01010285,100,2.7334852,0.6833713,0.6833713,2.2779043,96.3553531,94.76082,0.4555809,1.1389522,0,
S01010286,100,1.511879,0.2159827,0.8639309,0.4319654,97.6241901,95.8963283,0.8639309,0.8639309,0,
S01010287,100,1.2539185,0.6269592,0,0.6269592,98.7460815,96.5517241,2.1943574,0,0,
S01010288,100,7.5342466,1.369863,1.5981735,4.56621,92.4657534,81.2785388,10.2739726,0.913242,0,
S01010289,100,13.9186296,1.0706638,4.0685225,8.7794433,86.0813704,58.8865096,26.9807281,0.2141328,0,
S01010290,100,5.2356021,0.5235602,0.7853403,3.9267016,95.8115183,87.9581152,8.1151832,0.5235602,0,
S01010291,100,1.5564202,0.5836576,0.3891051,0.5836576,98.4435798,97.0817121,0.7782101,0.7782101,0,
S01010292,100,1.0126582,0.2531646,0,0.5063291,98.9873418,98.4810127,0,0.7594937,0,
S01010293,100,1.9830028,0.8498584,0.8498584,0.8498584,96.6005666,97.1671388,0.2832861,0,0,
S01010294,100,1.8796992,0.7518797,0.7518797,0.7518797,98.1203008,98.1203008,0,0,0,
S01010295,100,1.6166282,0.2309469,0.4618938,0.9237875,98.1524249,95.6120092,2.3094688,0.2309469,0.2309469,
S01010296,100,5.3191489,0,1.0638298,2.8368794,95.7446809,94.6808511,1.0638298,0,0,
S01010297,100,4.9206349,0.952381,0.952381,2.6984127,94.9206349,93.015873,1.7460317,0.3174603,0.1587302,
S01010298,100,5.5445545,0.5940594,0.5940594,4.3564356,93.8613861,91.0891089,2.1782178,0.7920792,0,
S01010299,100,5.5555556,1.5432099,1.2345679,2.7777778,95.0617284,92.9012346,2.1604938,0,0,
S01010300,100,5.6680162,0.6072874,1.6194332,3.4412955,94.3319838,91.902834,1.8218623,0.6072874,0,
S01010301,100,1.3274336,0.8849558,0,0.4424779,100.4424779,98.2300885,0.4424779,0,0,
S01010302,100,8.6842105,1.5789474,2.1052632,5,91.3157895,86.5789474,3.9473684,1.3157895,0,
S01010303,100,3.0188679,1.509434,1.8867925,0.754717,95.4716981,92.8301887,1.509434,1.1320755,0,
S01010304,100,9.0261283,0.7125891,1.9002375,6.4133017,90.9738717,89.3111639,1.6627078,0,0,
S01010305,100,14.4954128,1.1009174,0.9174312,11.9266055,85.5045872,84.587156,0.9174312,0,0,
S01010306,100,9.5360825,0.5154639,0.5154639,7.7319588,90.4639175,89.4329897,0.257732,0,0,
S01010307,100,3.6613272,0,0.9153318,2.5171625,96.3386728,88.1006865,8.2379863,0,0,
S01010308,100,10.2713178,0.7751938,1.1627907,9.1085271,89.7286822,76.5503876,12.5968992,0.9689922,0,
S01010309,100,14.1843972,2.1276596,7.8014184,5.6737589,82.9787234,82.9787234,0,0,0,
S01010310,100,25.9259259,2.1604938,11.1111111,12.654321,73.7654321,72.5308642,1.2345679,0,0.308642,
S01010311,100,22.4299065,4.6728972,6.8535826,10.9034268,78.1931464,77.258567,0,0.9345794,0,
S01010312,100,40.2325581,4.8837209,22.5581395,12.7906977,58.1395349,56.9767442,0.2325581,0.2325581,1.627907,
S01010313,100,8.1433225,0.9771987,1.6286645,5.8631922,91.5309446,91.5309446,0,0,0.6514658,
S01010314,100,13.024602,1.1577424,3.7626628,8.1041968,86.5412446,85.52822,0.5788712,0,0.4341534,
S01010315,100,37.9844961,1.2919897,27.1317829,9.5607235,62.0155039,62.0155039,0,0,0.7751938,
S01010316,100,14.4171779,1.8404908,6.1349693,7.9754601,85.5828221,84.9693252,0.9202454,0,0,
S01010317,100,7.1428571,0.8710801,1.2195122,5.4006969,92.8571429,92.6829268,0.174216,0,0,
S01010318,100,9.4982079,1.0752688,3.9426523,4.4802867,90.3225806,89.9641577,0,0.7168459,0.1792115,
S01010319,100,14.7420147,0.2457002,2.9484029,11.5479115,84.2751843,83.5380835,0,0.4914005,0,
S01010320,100,1.9493177,0.1949318,0.5847953,1.1695906,98.0506823,96.1013645,2.5341131,0.1949318,0,
S01010321,100,3.956044,0.2197802,1.7582418,1.5384615,96.043956,95.6043956,0.2197802,0.4395604,0,
S01010322,100,4.4025157,1.2578616,0.4192872,2.5157233,97.0649895,93.7106918,3.1446541,0,0,
S01010323,100,18.8679245,2.8301887,7.8616352,6.918239,80.8176101,79.8742138,0.6289308,0.3144654,0.3144654,
S01010324,100,52.6992288,3.5989717,30.0771208,19.0231362,46.2724936,45.7583548,0.2570694,0.2570694,0,
S01010325,100,30.2,2.8,24,3.4,69.8,69.4,0.8,0,0,
S01010326,100,44.7140381,4.5060659,20.2772964,19.237435,55.1126516,54.4194107,0,0,0.1733102,
S01010327,100,70.0549451,3.8461538,42.032967,23.3516484,29.9450549,28.2967033,1.3736264,0.2747253,0,
S01010328,100,45.8752515,12.2736419,19.7183099,13.8832998,54.7283702,51.7102616,1.6096579,0.6036217,0.2012072,
S01010329,100,20.4819277,3.6144578,14.1566265,5.7228916,78.9156627,78.6144578,0.3012048,0,0,
S01010330,100,69.8884758,3.3457249,22.3048327,43.1226766,31.598513,31.598513,0,0,0,
S01010331,100,20.0803213,4.0160643,8.4337349,8.4337349,80.1204819,78.5140562,1.0040161,0,0,
S01010332,100,61.6613419,4.1533546,24.600639,32.9073482,38.3386581,37.0607029,1.2779553,0.6389776,0,
S01010333,100,26.8292683,1.8761726,13.1332083,12.3827392,72.2326454,70.7317073,1.3133208,0.3752345,0,
S01010334,100,74.2454728,2.2132797,33.1991952,38.832998,25.7545272,25.7545272,0,0,0,
S01010335,100,55.2560647,1.8867925,20.2156334,34.2318059,44.7439353,43.6657682,0.8086253,0.2695418,0,
S01010336,100,27.5,1.25,4.6875,22.8125,71.25,70.9375,0,0.625,0,
S01010337,100,87.5722543,4.3352601,30.3468208,52.3121387,11.5606936,10.6936416,0.867052,0,0.2890173,
S01010338,100,57.9591837,2.4489796,14.6938776,40,42.0408163,40,2.0408163,0,0,
S01010339,100,65.1452282,2.0746888,34.439834,28.6307054,35.2697095,35.2697095,0,0,0,
S01010340,100,31.1977716,2.5069638,15.3203343,13.9275766,68.5236769,67.6880223,0.8356546,0,0,
S01010341,100,63.2575758,5.6818182,30.6818182,26.8939394,35.9848485,35.9848485,0,0,0,
S01010342,100,57.5,6.7857143,44.6428571,6.4285714,42.5,40.7142857,1.7857143,0,0,
S01010343,100,88.6685552,13.5977337,58.9235127,16.1473088,11.3314448,11.0481586,0.2832861,0,0,
S01010344,100,29.1457286,1.0050251,16.8341709,12.3115578,70.6030151,69.3467337,1.0050251,0.5025126,0.5025126,
S01010345,100,93.1407942,78.700361,12.9963899,1.4440433,6.4981949,6.4981949,0,0,0.7220217,
S01010346,100,57.5406032,14.8491879,26.450116,16.2412993,42.4593968,39.675174,3.0162413,0.2320186,0,
S01010347,100,11.6564417,1.6359918,2.8629857,6.9529652,88.1390593,87.9345603,0.204499,0,0.204499,
S01010348,100,16.8269231,6.25,5.2884615,6.25,83.1730769,82.4519231,0.9615385,0.4807692,0,
S01010349,100,30.7304786,2.7707809,10.0755668,17.884131,70.0251889,69.7732997,0.2518892,0,0,
S01010350,100,22.7557411,0.6263048,6.6805846,16.2839248,77.0354906,76.8267223,0.2087683,0,0.2087683,
S01010351,100,34.1085271,1.2919897,17.5710594,15.245478,65.6330749,64.5994832,1.0335917,0,0,
S01010352,100,11.2280702,0.3508772,4.5614035,6.3157895,88.7719298,88.0701754,0,0,0,
S01010353,100,5.7866184,0,1.2658228,4.3399638,93.4900542,92.9475588,0.3616637,0.3616637,0,
S01010354,100,28.4931507,0.8219178,12.6027397,15.0684932,70.9589041,70.6849315,0.5479452,0,0,
S01010355,100,18.1176471,1.8823529,5.4117647,11.0588235,81.8823529,79.5294118,1.6470588,0.4705882,0,
S01010356,100,48.8607595,3.5443038,19.2405063,26.835443,51.1392405,47.8481013,2.0253165,1.0126582,0,
S01010357,100,22.6415094,0,7.1698113,15.4716981,77.7358491,77.7358491,0,0,0,
S01010358,100,5.8935361,0.3802281,1.1406844,4.1825095,93.9163498,92.5855513,1.1406844,0.1901141,0.1901141,
S01010359,100,3.1372549,0.7843137,0.5882353,1.7647059,96.4705882,95.6862745,0.3921569,0.3921569,0.5882353,
S01010360,100,22.5626741,0.8356546,6.4066852,15.3203343,77.1587744,76.8802228,0.2785515,0,0.2785515,
S01010361,100,4.2056075,0.9345794,0.2336449,3.0373832,95.7943925,95.5607477,0.2336449,0,0,
S01010362,100,8.1632653,0.8163265,3.4693878,3.877551,91.6326531,90.8163265,1.2244898,0.4081633,0.2040816,
S01010363,100,24.0875912,1.703163,13.3819951,9.0024331,75.9124088,75.6690998,0.243309,0,0,
S01010364,100,96.4673913,1.6304348,48.6413043,46.1956522,3.8043478,2.4456522,1.3586957,0,0,
S01010365,100,40.0900901,6.3063063,27.027027,6.7567568,59.9099099,33.5585586,26.3513514,0,0,
S01010366,100,43.7984496,0.5813953,39.3410853,3.2945736,56.0077519,54.4573643,1.5503876,0,0.1937984,
S01010367,100,28.5447761,2.4253731,20.1492537,5.9701493,71.4552239,52.0522388,19.4029851,0,0,
S01010368,100,24.6819338,2.2900763,6.6157761,15.2671756,75.3180662,47.5826972,27.2264631,0.5089059,0,
S01010369,100,9.2348285,1.055409,5.0131926,2.1108179,90.7651715,85.7519789,4.7493404,0.2638522,0,
S01010370,100,14.5400593,1.7804154,4.1543027,8.6053412,85.4599407,68.5459941,16.9139466,0,0,
S01010371,100,14.1818182,1.6363636,1.2727273,11.2727273,85.8181818,60.7272727,24.7272727,0.3636364,0,
S01010372,100,5.1470588,1.4705882,1.8382353,2.2058824,95.9558824,87.1323529,7.7205882,0,0,
S01010373,100,3.9443155,1.6241299,1.1600928,1.1600928,96.0556845,92.8074246,3.2482599,0,0,
S01010374,100,10.9865471,0,1.793722,8.2959641,89.6860987,69.7309417,19.7309417,0.2242152,0,
S01010375,100,3.9215686,0.3921569,0.7843137,2.745098,96.8627451,90.9803922,3.5294118,1.1764706,0.3921569,
S01010376,100,8.913649,0.8356546,1.3927577,5.5710306,92.2005571,85.5153203,5.5710306,1.1142061,0,
S01010377,100,5.46875,0.78125,1.3020833,3.3854167,94.53125,84.375,9.6354167,1.0416667,0,
S01010378,100,2.3569024,0.6734007,0.6734007,1.3468013,98.3164983,90.2356902,6.7340067,0.6734007,0,
S01010379,100,6.0362173,0.804829,0.804829,4.2253521,93.9637827,87.1227364,5.8350101,0.6036217,0.4024145,
S01010380,100,2.0484171,0,0.3724395,1.8621974,97.9515829,94.2271881,3.7243948,0,0,
S01010381,100,1.5015015,0,0,1.2012012,98.4984985,96.6966967,0.9009009,1.5015015,0,
S01010382,100,1.0729614,0,0.4291845,0,98.9270386,98.9270386,0,0,0,
S01010383,100,4.1884817,0.7853403,0.7853403,1.5706806,96.5968586,95.2879581,0,1.3089005,0.2617801,
S01010384,100,2.8340081,0.4048583,0.2024291,1.6194332,97.1659919,91.902834,5.465587,0,0.4048583,
S01010385,100,1.3618677,0.1945525,0.3891051,0.5836576,98.6381323,96.8871595,1.3618677,0.3891051,0,
S01010386,100,9.0566038,1.1320755,1.1320755,6.4150943,89.4339623,88.8679245,0.754717,0.754717,0,
S01010387,100,5.7093426,0.6920415,0.5190311,4.4982699,94.2906574,93.7716263,0.3460208,0.3460208,0,
S01010388,100,10.1754386,0.7017544,1.754386,7.7192982,89.8245614,87.7192982,1.4035088,0.877193,0,
S01010389,100,1.7167382,0.286123,0.4291845,0.7153076,98.2832618,97.5679542,0.4291845,0.286123,0,
S01010390,100,1.038961,0.6493506,0.2597403,0,98.961039,99.0909091,0.2597403,0,0,
S01010391,100,1.9230769,0.1923077,0.7692308,0.3846154,98.6538462,98.0769231,0.1923077,0.7692308,0,
S01010392,100,1.1764706,0,0.4705882,0.4705882,98.8235294,97.8823529,0.7058824,0,0,
S01010393,100,9.6774194,1.2288786,1.5360983,7.2196621,90.1689708,86.9431644,2.6113671,0.6144393,0,
S01010394,100,5.8608059,1.6483516,1.0989011,3.1135531,93.956044,92.6739927,1.0989011,0.1831502,0.1831502,
S01010395,100,2.3771791,0.3169572,0.4754358,1.5847861,97.1473851,96.3549921,0.792393,0,0,
S01010396,100,1.3422819,0.6711409,0.6711409,0,98.6577181,96.6442953,1.6778523,0.5033557,0,
S01010397,100,4.2553191,0.5319149,0.7978723,2.9255319,95.7446809,84.3085106,12.2340426,0,0,
S01010398,100,14.7569444,0.1736111,0.8680556,14.0625,85.4166667,84.2013889,1.0416667,0.1736111,0,
S01010399,100,6.7082683,0.4680187,1.5600624,4.6801872,93.2917317,92.5117005,0.7800312,0,0,
S01010400,100,17.9337232,3.5087719,6.042885,8.7719298,81.4814815,71.539961,9.1617934,0.5847953,0,
S01010401,100,7.3113208,0.7075472,1.1792453,4.245283,92.6886792,70.2830189,21.9339623,0,0,
S01010402,100,5.8365759,0.1945525,0.9727626,4.6692607,94.1634241,93.9688716,0.1945525,0,0,
S01010403,100,3.9399625,1.1257036,1.1257036,2.2514071,95.4971857,81.0506567,13.8836773,0.5628518,0,
S01010404,100,12.7744511,1.7964072,3.992016,6.9860279,87.0259481,48.3033932,38.7225549,0,0.1996008,
S01010405,100,12.7272727,2.2222222,1.6161616,8.8888889,87.0707071,47.0707071,39.7979798,0.2020202,0.4040404,
S01010406,100,4.9145299,0.8547009,1.0683761,4.0598291,94.4444444,60.042735,34.1880342,0,0,
S01010407,100,4.2316258,0.8908686,1.3363029,1.55902,95.545657,82.4053452,11.3585746,1.3363029,0.2227171,
S01010408,100,36.971831,2.4647887,13.028169,21.4788732,63.028169,61.6197183,0.7042254,0.3521127,0,
S01010409,100,91.2820513,29.2307692,39.4871795,22.0512821,6.6666667,6.6666667,1.025641,0,0,
S01010410,100,55.4517134,7.4766355,28.9719626,19.0031153,44.2367601,43.3021807,0.9345794,0,0,
S01010411,100,80.8673469,3.0612245,17.0918367,60.7142857,19.3877551,17.3469388,1.7857143,0.255102,0,
S01010412,100,20.7692308,4.8717949,8.974359,6.9230769,79.2307692,67.1794872,12.0512821,0,0,
S01010413,100,37.25,7.25,26.25,3.75,62.75,56.5,6.25,0,0,
S01010414,100,47.5687104,1.4799154,9.3023256,37.4207188,51.7970402,50.5285412,0.845666,0,0,
S01010415,100,7.0853462,0,2.7375201,3.8647343,92.9146538,90.9822866,1.610306,0.1610306,0,
S01010416,100,48.5804416,1.8927445,16.7192429,29.9684543,51.4195584,51.1041009,0.9463722,0,0,
S01010417,100,36.6548043,2.1352313,4.6263345,29.8932384,63.3451957,61.5658363,2.1352313,0,0,
S01010418,100,14.5683453,1.0791367,2.8776978,10.6115108,85.4316547,81.294964,2.8776978,1.2589928,0,
S01010419,100,35.3293413,0.5988024,5.5888224,28.5429142,65.0698603,63.4730539,1.5968064,0,0,
S01010420,100,70.8609272,3.3112583,18.2119205,49.0066225,29.1390728,28.1456954,1.6556291,0,0,
S01010421,100,68.2215743,1.1661808,34.6938776,32.6530612,31.7784257,30.6122449,0.8746356,0.2915452,0,
S01010422,100,64.0167364,1.6736402,6.2761506,56.0669456,35.7740586,33.8912134,1.6736402,0.41841,0.41841,
S01010423,100,5.1546392,0,1.443299,3.2989691,93.6082474,90.5154639,2.8865979,0.2061856,1.0309278,
S01010424,100,14.7916667,0.8333333,1.6666667,12.7083333,84.1666667,84.375,0.2083333,0,0.2083333,
S01010425,100,7.5657895,0.9868421,1.6447368,4.9342105,92.1052632,91.6118421,0.1644737,0.3289474,0.3289474,
S01010426,100,27.8947368,1.3157895,3.1578947,23.9473684,70.7894737,69.2105263,1.5789474,0,0.7894737,
S01010427,100,30.5045872,0.6880734,6.1926606,22.4770642,69.0366972,66.2844037,0.9174312,1.8348624,0.4587156,
S01010428,100,53.9936102,12.7795527,1.9169329,39.6166134,46.0063898,44.7284345,0.6389776,0,0,
S01010429,100,76.0869565,0.4830918,6.2801932,69.5652174,23.9130435,21.7391304,1.4492754,0,0,
S01010430,100,8.8983051,1.059322,2.1186441,6.3559322,90.8898305,89.4067797,1.2711864,0.2118644,0.2118644,
S01010431,100,85.7142857,0.7936508,9.5238095,75.7936508,14.2857143,13.8888889,0.3968254,0,0,
S01010432,100,10.619469,0.2212389,2.6548673,7.7433628,89.8230088,88.0530973,0.4424779,0.4424779,1.1061947,
S01010433,100,9.95671,1.2987013,3.8961039,4.7619048,89.6103896,88.3116883,0.4329004,1.2987013,0.4329004,
S01010434,100,5.1204819,1.2048193,1.2048193,2.7108434,94.2771084,93.6746988,0.3012048,0,0.6024096,
S01010435,100,47.9166667,1.3888889,28.125,16.6666667,51.7361111,51.0416667,0.6944444,0,0.3472222,
S01010436,100,11.965812,1.2820513,2.1367521,8.5470085,85.8974359,86.1111111,0.4273504,0.2136752,1.2820513,
S01010437,100,31.5789474,0,18.7969925,11.2781955,68.4210526,69.1729323,0,0,0,
S01010438,100,41.5512465,2.2160665,17.7285319,21.6066482,58.7257618,58.4487535,0.2770083,0,0,
S01010439,100,11.7283951,2.0576132,2.0576132,7.6131687,89.0946502,88.6831276,0.2057613,0,0,
S01010440,100,31.6939891,0.8196721,17.4863388,13.3879781,69.3989071,68.0327869,0,0.273224,0,
S01010441,100,10.3448276,0.3629764,1.2704174,8.7114338,89.6551724,89.4736842,0.1814882,0,0,
S01010442,100,10.2362205,0.2624672,3.9370079,6.0367454,90.5511811,88.7139108,0.7874016,0.2624672,0,
S01010443,100,97.5206612,2.892562,11.9834711,83.4710744,2.0661157,2.0661157,0,0,0.4132231,
S01010444,100,89.516129,3.2258065,20.9677419,66.1290323,10.483871,10.0806452,0.4032258,0,0,
S01010445,100,65.2439024,3.3536585,18.902439,42.3780488,35.3658537,35.0609756,0.304878,0,0,
S01010446,100,95.412844,9.7859327,28.440367,56.2691131,3.9755352,3.058104,0.3058104,0,0,
